location,campus,date,day_of_week,meal_period,category,item
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,FRENCH FRIES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,LETTUCE LEAVES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,MONTREAL STEAK SEASONING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,PICKLE CHIPS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,SLICED CHEDDAR CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,SLICED MUSHROOMS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,SLICED ONIONS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,SLICED PEPPERJACK CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,SLICED PROVOLONE CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,SLICED TOMATOES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PUB SIDES,YELLOW AMERICAN CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,BAKED BROWN RICE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,STIR FRY NOODLES & VEGGIES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,THAI SHRIMP RED COCONUT CURRY
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,ASIAN INSPIRED CUISINE,VEGETABLE FRIED RICE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PIZZA & PASTA,ALFREDO PESTO SAUCE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PIZZA & PASTA,BAKED MACARONI AND CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PIZZA & PASTA,CHEESE PIZZA
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PENNE  PASTA
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PIZZA TURKEY PEPPERONI
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PLAIN TOMATO SAUCE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,OMLET BAR,OMELETS MADE TO ORDER
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,YOGURT BAR,COTTAGE CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,YOGURT BAR,CRAISINS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,YOGURT BAR,GRANOLA OATS & HONEY
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,YOGURT BAR,PLAIN GREEK CHOBANI YOGURT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,YOGURT BAR,PUMPKIN SEEDS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,YOGURT BAR,RAISINS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,YOGURT BAR,STRAWBERRY YOGURT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,YOGURT BAR,SUNFLOWER SEEDS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,YOGURT BAR,VANILLA YOGURT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,BABY SPINACH
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,BROCCOLI FLORETS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,BROCCOLI SALAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,CAULIFLOWER FLORETS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,CHERRY TOMATOES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,CHICKPEAS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,CHOPPED SWEET RED PEPPERS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,CROUTONS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,CRUMBLED FETA CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,CUCUMBERS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,DICED TOFU
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,HARDBOILED EGGS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,ICEBERG LETTUCE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,KALAMATA OLIVES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,RED ONION
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,RIPE SLICED OLIVES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,ROMAINE LETTUCE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,SHREDDED CARROTS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,SHREDDED CHEDDAR  CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,SHREDDED RED CABBAGE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,SLICED BEETS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,SLICED MUSHROOMS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,SPRING MIX GREENS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,TOMATO WEDGES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,WASABI PEAS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD BAR,WHOLE BLACK PITTED OLIVES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD DRESSING,BALSAMIC VINAIGRETTE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD DRESSING,BALSAMIC VINEGAR
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD DRESSING,BLUE CHEESE DRESSING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD DRESSING,CAESAR DRESSING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD DRESSING,GOLDEN ITALIAN DRESSING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD DRESSING,OLIVE AND CANOLA OIL BLEND
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD DRESSING,RANCH DRESSING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SALAD DRESSING,RASPBERRY VINAGRETTE DRESSING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,SOUPS,SLOW SIMMERED LENTIL SOUP
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,BOILED HAM
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,COOKED SALAMI
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,EGG  SALAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,ICEBERG LETTUCE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,RED ONION
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,SLICED PROVOLONE CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,SLICED SWISS CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,SLICED TOMATOES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,TUNA SALAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,TURKEY BREAST
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,YELLOW AMERICAN CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,ENTREES,CHICKEN PARMESAN
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,ENTREES,"ORZO WITH PARMESAN CHEESE, BELL PEPPERS AND VEGETABLES"
