name,location,date_time,link
Wednesday Pumpkin Painting Pop Up- Cook/Douglass,Cook/Douglass Residence Life Office,"Wednesday, October 8 at 1:00PM EDT",https://rutgers.campuslabs.com/engage/event/11729533
Do Accommodations Make Sense for You? ODS Drop-In Hours,Graduate Student Lounge,"Wednesday, October 8 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11657102
RU Curly's: Fall Bake Sale,Livingston Student Center - Table 2,"Wednesday, October 8 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11739416
Weekly Meeting,Room 472 - Civic Square Building,"Wednesday, October 8 at 4:00PM EDT",https://rutgers.campuslabs.com/engage/event/11697814
Foundations of Faith,Livingston Student Center,"Wednesday, October 8 at 5:00PM EDT",https://rutgers.campuslabs.com/engage/event/11732913
Stress Less with Art,Rutgers CAPS,"Wednesday, October 8 at 5:30PM EDT",https://rutgers.campuslabs.com/engage/event/11366539
Speaker Series - New Brunswick City Councilwoman Petra Gaskins,College Avenue Student Center,"Wednesday, October 8 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11401347
Weekly Bible Study,Douglass Student Center MEETING ROOM B,"Wednesday, October 8 at 6:30PM EDT",https://rutgers.campuslabs.com/engage/event/11653645
RECONS Guest Speaker Series,Online,"Wednesday, October 8 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11592796
Popcorn & Politics: NJ Gubernatorial Debate Watch Party,Trayes Hall,"Wednesday, October 8 at 6:15PM EDT",https://rutgers.campuslabs.com/engage/event/11739674
RU Autonomous - Autopilot Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Wednesday, October 8 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11667438
DEI: Papel Picados,DSC NJC Lounge,"Wednesday, October 8 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11721189
TEACH Jeopardy Night!,BSC Room 116ABC,"Wednesday, October 8 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11719969
Friends of MSF Meeting,College Ave Student Center Room 411A,"Wednesday, October 8 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11290841
RU Airborne General Meeting,The Cage (D123),"Wednesday, October 8 at 7:30PM EDT",https://rutgers.campuslabs.com/engage/event/11698359
Arudhi Social,LSC Coffeehouse,"Wednesday, October 8 at 7:30PM EDT",https://rutgers.campuslabs.com/engage/event/11304611
Golden Week,SAC,"Wednesday, October 8 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11412172
HSC General Meeting,BSC 120 ABC,"Wednesday, October 8 at 8:30PM EDT",https://rutgers.campuslabs.com/engage/event/11295065
Charm & Connect,Douglass Student Center,"Wednesday, October 8 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11739233
RRPL Structures Meeting,D-123 Mezzanine (The Cage),"Wednesday, October 8 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11684145
Virtual Parent Vino Blanco,Online,"Wednesday, October 8 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11742954
Paint & Chat,Allen Hall 1st Floor,"Wednesday, October 8 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11739000
Paint & Chat,Allen Hall 1st Floor,"Wednesday, October 8 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11739012
Photography Club General Meeting,College Ave Student Center,"Wednesday, October 8 at 9:00PM EDT",https://rutgers.campuslabs.com/engage/event/11609466
RUSEPRC General Meeting,Bartlett Hall Room 123 (Cook/Douglass),"Wednesday, October 8 at 9:00PM EDT",https://rutgers.campuslabs.com/engage/event/11564528
Mind-Body Reset: A 4 Week Wellness Workshop Series,Ernest Mario School of Pharmacy room 102A,"Thursday, October 9 at 12:00PM EDT",https://rutgers.campuslabs.com/engage/event/11564329
SunnySide Start-Up,"Busch Student Center, Multipurpose Room","Thursday, October 9 at 11:30AM EDT",https://rutgers.campuslabs.com/engage/event/11569086
Fall 2025 Civil and Environmental Engineering Career Expo,Busch Student Center International Lounge,"Thursday, October 9 at 9:00AM EDT",https://rutgers.campuslabs.com/engage/event/11604076
Financing Study Abroad Hybrid Workshops: How To Pay For It?,Online,"Thursday, October 9 at 3:00PM EDT",https://rutgers.campuslabs.com/engage/event/11420563
RUCVGM General Meeting,Busch Student Center Room 115,"Thursday, October 9 at 4:00PM EDT",https://rutgers.campuslabs.com/engage/event/11332331
Residential Support Services for Disabled Students in New Jersey’s Public Institutions of Higher Education,"Governor James J. Florio Special Events Forum, Bloustein School of Planning and Public Policy, Civic Square Building","Thursday, October 9 at 4:00PM EDT",https://rutgers.campuslabs.com/engage/event/11678361
Pumpkin Painting Party,Proteomics,"Thursday, October 9 at 4:30PM EDT",https://rutgers.campuslabs.com/engage/event/11706437
RUC General Cruise Info Meeting,TBD,"Thursday, October 9 at 6:00PM EDT",https://rutgers.campuslabs.com/engage/event/11745360
RU Curly's: Fall Bake Sale,Livingston Student Center - Table 2,"Thursday, October 9 at 3:30PM EDT",https://rutgers.campuslabs.com/engage/event/11739417
Steel Bridge Design Meetings,BME 128,"Thursday, October 9 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11681342
RU Autonomous - Airdrop Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Thursday, October 9 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11667474
The Life of a Showgirl Debrief,CASC 108,"Thursday, October 9 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11697080
RU Autonomous - Hardware Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Thursday, October 9 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11659662
Large Group,BSC 174,"Thursday, October 9 at 8:30PM EDT",https://rutgers.campuslabs.com/engage/event/11424984
Voices for Gaza,Haraz Coffee House New Brunswick,"Thursday, October 9 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11731990
RUSA General Assembly Meeting,Student Activities Center (SAC) - College Ave Campus,"Thursday, October 9 at 7:30PM EDT",https://rutgers.campuslabs.com/engage/event/11432458
A Cappella Auditions,Douglass Student Center,"Tuesday, September 9 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11490534
Verse One - PRACTICE!,Lucy Stone,"Thursday, October 9 at 8:30PM EDT",https://rutgers.campuslabs.com/engage/event/11674689
RATS WAG,EOHSI,"Friday, October 10 at 9:00AM EDT",https://rutgers.campuslabs.com/engage/event/11629250
Adaptive Sports for the Blind and Visually Impaired,Cook Student Center Room: CS 202 ABC,"Friday, October 10 at 10:00AM EDT",https://rutgers.campuslabs.com/engage/event/11693117
Facilitating Across Differences Training,Online,"Friday, October 10 at 9:00AM EDT",https://rutgers.campuslabs.com/engage/event/11736874
Unstoppable: How Adaptive Sports Are Redefining Athletics,Cook Student Center Room: CS 202 ABC,"Friday, October 10 at 11:30AM EDT",https://rutgers.campuslabs.com/engage/event/11693494
Rutgers ASL Club: TBD,Room 109 - Livingston Student Center,"Friday, October 10 at 12:00PM EDT",https://rutgers.campuslabs.com/engage/event/11673564
Rainbow Symphony Rehearsal,Walters Hall - Room 240,"Friday, October 10 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11403512
Coffee Hour With the Speaker,Geography Lounge Lucy Stone Hall,"Friday, October 10 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11709755
Christiana Foglio DC'84 Douglass Career Conference,Douglass Student Center,"Friday, October 10 at 10:15AM EDT",https://rutgers.campuslabs.com/engage/event/11381179
NutriSci 2025 Fall Get Together,Davison Hall Teaching Kitchen,"Friday, October 10 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11706067
Disability Employment in the Fortune 500,Online,"Friday, October 10 at 3:00PM EDT",https://rutgers.campuslabs.com/engage/event/11715461
EcoGSA,ENR 123,"Friday, October 10 at 4:00PM EDT",https://rutgers.campuslabs.com/engage/event/11575002
"Adaptive Sports, Health, and Wellness Day",Cook/Douglass Recreation Center Main Gym,"Friday, October 10 at 1:00PM EDT",https://rutgers.campuslabs.com/engage/event/11693581
Rutgers Art and Design: Eraser Stamp Making,Murray Hall,"Friday, October 10 at 5:30PM EDT",https://rutgers.campuslabs.com/engage/event/11272528
Friday Night Fellowship,LSC - 201 AB,"Friday, October 10 at 6:00PM EDT",https://rutgers.campuslabs.com/engage/event/11447767
GESA Board Game Night,Simon Library - NJ Hall,"Friday, October 10 at 5:00PM EDT",https://rutgers.campuslabs.com/engage/event/11643160
"Adaptive Sports, Health and Wellness Day",Cook/Douglass Recreation Center,"Friday, October 10 at 1:00PM EDT",https://rutgers.campuslabs.com/engage/event/11693654
Respond and Rescue: APSEA X MedicZero CPR & Stroke Awareness,Busch Student Center,"Friday, October 10 at 6:30PM EDT",https://rutgers.campuslabs.com/engage/event/11745229
AGSA Fall Gathering,"Atrium, 3rd floor, Ruth Adams Building","Friday, October 10 at 6:00PM EDT",https://rutgers.campuslabs.com/engage/event/11642445
RUSEPRC Rutgers Mens Soccer Game,Yurcak Field,"Friday, October 10 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11541071
GuSA Garba 2025,Livingston Recreational Center,"Friday, October 10 at 7:30PM EDT",https://rutgers.campuslabs.com/engage/event/11614302
Day- Long Sit with Cold Mountain Zen,Lucy Stone Hall,"Saturday, October 11 at 8:00AM EDT",https://rutgers.campuslabs.com/engage/event/11293706
