location,date,day_of_week,meal_period,category,item
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,BABY CORN
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,BABY SPINACH
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,BROCCOLI FLORETS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,CAULIFLOWER FLORETS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,CHICKPEAS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,CHOPPED SWEET RED PEPPERS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,CORN KERNELS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,CROUTONS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,CRUMBLED FETA CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,CUCUMBERS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,DICED TOFU
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,HARDBOILED EGGS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,ICEBERG LETTUCE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,KALAMATA OLIVES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,KIDNEY BEANS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,PEPPERONCINI PEPPERS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,RED ONION
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,RIPE SLICED OLIVES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,ROMAINE LETTUCE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,SEASONED BLACK BEANS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,SHREDDED CARROTS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,SHREDDED CHEDDAR  CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,SHREDDED MOZZARELLA CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,SHREDDED RED CABBAGE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,SLICED BEETS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,SLICED MUSHROOMS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,SPRING MIX GREENS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,TOMATO WEDGES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,WHITE CANNELLINI BEAN
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD BAR,WHOLE BLACK PITTED OLIVES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD DRESSING,BALSAMIC VINAIGRETTE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD DRESSING,BALSAMIC VINEGAR
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD DRESSING,BLUE CHEESE DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD DRESSING,CAESAR DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD DRESSING,FRENCH DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD DRESSING,GOLDEN ITALIAN DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD DRESSING,OLIVE AND CANOLA OIL BLEND
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SALAD DRESSING,RANCH DRESSING
Neilson Dining Hall,2025-10-04,Saturday,Dinner,SOUPS,PASTA DITALINI & BEAN SOUP
Neilson Dining Hall,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,BOILED HAM
Neilson Dining Hall,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,CHICKEN CAESAR WRAP
Neilson Dining Hall,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,DYNAMITE BUFFALO TOFU WRAP
Neilson Dining Hall,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,GRILLED CHICKEN MONTREAL
Neilson Dining Hall,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,ROTISSERIE BBQ CHICKEN
Neilson Dining Hall,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,SLICED PROVOLONE CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,TUNA SALAD
Neilson Dining Hall,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,TURKEY BREAST
Neilson Dining Hall,2025-10-04,Saturday,Dinner,DELI BAR ENTREE,YELLOW AMERICAN CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,ENTREES,CHICKEN PARMESAN
Neilson Dining Hall,2025-10-04,Saturday,Dinner,ENTREES,ITALIAN MEATBALLS .5 OZ
Neilson Dining Hall,2025-10-04,Saturday,Dinner,ENTREES,SHRIMP SCAMPI
