location,campus,date,day_of_week,meal_period,category,item
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,PORK SAUSAGE CRUMBLES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,SHREDDED MOZZARELLA CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SOUPS,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,ALFREDO SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,BROCCOLI
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,CANOLA OIL
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,CHOPPED GARLIC
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,DICED TOFU
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,FRESH CHICKEN STRIPS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,MARINARA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,OLIVE AND CANOLA OIL BLEND
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,PARMESAN CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,PENNE  PASTA
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,PESTO
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,PINK PASTA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,PORK SAUSAGE CRUMBLES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,SHREDDED MOZZARELLA CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,DELI BAR ENTREE,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,ALFREDO SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,BROCCOLI
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,CANOLA OIL
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,CHOPPED GARLIC
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,DICED TOFU
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,FRESH CHICKEN STRIPS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,MARINARA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,OLIVE AND CANOLA OIL BLEND
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,PARMESAN CHEESE
